iter	Passed	Remaining
0	106	106239
1	107	53707
2	108	36092
3	109	27246
4	110	21946
5	111	18415
6	112	15890
7	112	13985
8	113	12493
9	114	11299
10	114	10309
11	115	9495
12	115	8798
13	116	8199
14	117	7689
15	117	7235
16	118	6855
17	119	6519
18	120	6209
19	121	5932
20	121	5682
21	122	5449
22	123	5231
23	123	5029
24	124	4846
25	124	4674
26	125	4516
27	125	4371
28	126	4233
29	126	4103
30	127	3987
31	128	3876
32	128	3772
33	129	3674
34	129	3580
35	130	3494
36	131	3413
37	131	3337
38	132	3267
39	133	3199
40	133	3131
41	134	3067
42	134	3004
43	135	2945
44	136	2889
45	136	2835
46	137	2782
47	137	2734
48	139	2700
49	139	2656
50	140	2610
51	140	2566
52	141	2525
53	141	2484
54	142	2445
55	142	2409
56	143	2373
57	143	2338
58	144	2306
59	145	2274
60	145	2243
61	146	2214
62	146	2184
63	147	2157
64	148	2131
65	148	2104
66	149	2082
67	149	2053
68	150	2027
69	150	2005
70	151	1983
71	152	1961
72	152	1940
73	153	1919
74	154	1899
75	154	1882
76	155	1863
77	156	1844
78	156	1825
79	157	1807
80	157	1790
81	158	1772
82	158	1756
83	159	1741
84	160	1723
85	160	1707
86	161	1691
87	161	1678
88	162	1663
89	163	1649
90	163	1635
91	164	1622
92	164	1608
93	165	1596
94	166	1584
95	166	1571
96	167	1559
97	168	1547
98	168	1537
99	169	1527
100	170	1515
101	170	1502
102	171	1491
103	171	1480
104	172	1469
105	173	1459
106	173	1448
107	174	1438
108	174	1429
109	175	1421
110	176	1411
111	176	1402
112	177	1394
113	178	1385
114	178	1376
115	179	1368
116	180	1359
117	180	1351
118	181	1341
119	181	1333
120	182	1326
121	183	1319
122	183	1310
123	184	1303
124	185	1296
125	185	1289
126	186	1281
127	186	1273
128	187	1265
129	188	1258
130	188	1251
131	189	1244
132	189	1237
133	190	1231
134	191	1224
135	191	1218
136	192	1212
137	193	1205
138	193	1200
139	194	1193
140	195	1188
141	195	1182
142	196	1176
143	196	1170
144	197	1165
145	198	1160
146	199	1155
147	199	1149
148	200	1145
149	201	1140
150	201	1135
151	202	1129
152	203	1124
153	203	1119
154	204	1114
155	205	1109
156	205	1104
157	206	1099
158	207	1094
159	207	1090
160	208	1086
161	209	1081
162	209	1075
163	210	1070
164	210	1065
165	211	1060
166	211	1055
167	212	1050
168	212	1045
169	213	1040
170	213	1036
171	214	1031
172	214	1027
173	215	1022
174	216	1018
175	216	1013
176	217	1009
177	217	1004
178	218	1000
179	218	996
180	218	990
181	219	986
182	220	982
183	220	978
184	221	974
185	221	970
186	222	966
187	222	961
188	223	958
189	224	955
190	224	951
191	225	948
192	226	945
193	226	942
194	227	939
195	228	936
196	228	932
197	229	928
198	229	925
199	230	922
200	231	918
201	231	915
202	232	912
203	233	911
204	234	909
205	235	905
206	235	902
207	236	899
208	236	896
209	237	892
210	238	889
211	238	887
212	239	884
213	239	881
214	240	878
215	241	875
216	241	872
217	242	868
218	242	865
219	243	862
220	243	859
221	244	856
222	244	853
223	245	850
224	246	847
225	246	844
226	247	841
227	247	838
228	248	835
229	248	832
230	249	830
231	249	827
232	250	824
233	251	822
234	251	819
235	252	817
236	252	814
237	253	811
238	253	808
239	254	806
240	255	803
241	255	801
242	256	798
243	257	796
244	257	794
245	258	792
246	259	789
247	259	787
248	260	784
249	260	781
250	261	779
251	261	776
252	262	774
253	262	772
254	263	769
255	264	767
256	264	764
257	265	762
258	265	759
259	266	757
260	266	755
261	267	753
262	267	750
263	268	748
264	269	746
265	269	743
266	270	741
267	270	739
268	271	737
269	271	734
270	272	732
271	272	730
272	273	727
273	273	725
274	274	723
275	274	721
276	275	719
277	276	717
278	276	715
279	277	713
280	277	711
281	278	709
282	279	707
283	279	705
284	280	703
285	283	708
286	284	706
287	285	704
288	285	702
289	286	700
290	286	698
291	287	696
292	287	694
293	288	691
294	288	689
295	289	688
296	289	686
297	290	684
298	290	682
299	291	679
300	291	677
301	292	675
302	292	673
303	293	671
304	293	669
305	294	667
306	295	665
307	295	663
308	296	662
309	296	660
310	297	658
311	297	656
312	298	655
313	298	653
314	299	651
315	300	649
316	300	647
317	301	646
318	301	644
319	302	642
320	302	640
321	303	638
322	303	636
323	304	635
324	305	633
325	305	632
326	306	630
327	307	629
328	307	627
329	308	625
330	308	623
331	309	622
332	309	620
333	310	618
334	310	617
335	311	615
336	311	613
337	312	612
338	313	610
339	313	608
340	314	607
341	314	605
342	315	603
343	315	602
344	316	600
345	316	599
346	317	597
347	317	595
348	318	594
349	318	592
350	319	590
351	320	589
352	320	587
353	321	586
354	321	584
355	322	582
356	322	581
357	323	579
358	323	578
359	324	576
360	324	575
361	325	573
362	325	571
363	326	570
364	327	568
365	327	567
366	328	565
367	328	564
368	329	562
369	329	561
370	330	559
371	330	558
372	331	556
373	331	555
374	332	553
375	332	552
376	333	550
377	333	549
378	334	547
379	334	546
380	335	544
381	335	543
382	336	542
383	337	540
384	337	539
385	338	537
386	338	536
387	339	534
388	339	533
389	340	532
390	340	530
391	341	529
392	341	528
393	342	526
394	342	525
395	343	523
396	343	522
397	344	520
398	344	519
399	345	518
400	346	516
401	346	515
402	347	514
403	347	512
404	348	511
405	348	510
406	349	508
407	349	507
408	350	506
409	350	504
410	351	503
411	351	502
412	352	500
413	352	499
414	353	498
415	354	497
416	354	495
417	355	494
418	355	493
419	356	491
420	356	490
421	357	489
422	357	488
423	358	486
424	358	485
425	359	484
426	359	482
427	360	481
428	360	480
429	361	479
430	361	477
431	362	476
432	363	475
433	363	474
434	364	473
435	364	471
436	365	470
437	365	469
438	366	468
439	367	467
440	367	465
441	368	464
442	368	463
443	369	462
444	369	461
445	370	459
446	370	458
447	371	457
448	371	456
449	372	455
450	372	453
451	373	452
452	373	451
453	374	450
454	375	449
455	375	448
456	376	446
457	376	445
458	377	444
459	377	443
460	378	442
461	378	441
462	379	440
463	380	439
464	380	437
465	381	436
466	381	435
467	382	434
468	382	433
469	383	432
470	383	430
471	384	429
472	384	428
473	385	427
474	385	426
475	386	425
476	386	424
477	387	423
478	387	421
479	388	420
480	388	419
481	389	418
482	390	417
483	390	416
484	391	415
485	391	414
486	392	413
487	392	412
488	393	410
489	393	409
490	394	408
491	394	407
492	395	406
493	395	405
494	396	404
495	396	403
496	397	402
497	398	401
498	398	400
499	399	399
500	399	397
501	400	396
502	400	395
503	401	394
504	401	393
505	402	392
506	402	391
507	403	390
508	403	389
509	404	388
510	405	387
511	405	386
512	406	385
513	406	384
514	407	383
515	407	382
516	408	381
517	408	380
518	409	379
519	410	378
520	410	377
521	411	376
522	411	375
523	412	374
524	412	373
525	413	372
526	413	371
527	414	370
528	414	369
529	415	368
530	415	367
531	416	366
532	416	365
533	417	364
534	417	363
535	418	362
536	419	361
537	419	360
538	420	359
539	420	358
540	421	357
541	421	356
542	422	355
543	422	354
544	423	353
545	423	352
546	424	351
547	424	350
548	425	349
549	426	348
550	426	347
551	427	346
552	427	345
553	428	344
554	428	343
555	429	342
556	429	341
557	430	340
558	430	339
559	431	338
560	431	337
561	432	336
562	432	336
563	433	335
564	433	334
565	434	333
566	435	332
567	435	331
568	436	330
569	436	329
570	437	328
571	437	327
572	438	326
573	439	325
574	439	325
575	440	324
576	441	323
577	441	322
578	442	321
579	442	320
580	443	319
581	443	318
582	444	317
583	444	316
584	445	315
585	445	314
586	446	314
587	446	313
588	447	312
589	448	311
590	448	310
591	449	309
592	449	308
593	450	307
594	450	306
595	451	305
596	451	304
597	452	304
598	452	303
599	453	302
600	453	301
601	454	300
602	454	299
603	455	298
604	455	297
605	456	296
606	457	295
607	457	295
608	458	294
609	458	293
610	459	292
611	459	291
612	460	290
613	461	289
614	461	289
615	462	288
616	462	287
617	463	286
618	463	285
619	464	284
620	465	283
621	465	282
622	466	282
623	466	281
624	467	280
625	467	279
626	468	278
627	468	277
628	469	276
629	469	275
630	470	274
631	470	273
632	471	273
633	471	272
634	472	271
635	472	270
636	473	269
637	473	268
638	474	267
639	474	267
640	475	266
641	475	265
642	476	264
643	477	263
644	477	262
645	478	262
646	478	261
647	479	260
648	479	259
649	480	258
650	480	257
651	481	256
652	481	256
653	482	255
654	483	254
655	483	253
656	484	252
657	484	251
